last4,letter,raw,final
0572,M,17,Ritirato
1880,V,Ritirato,Ritirato
1911,P,17,Ritirato
2514,O,24,24
3089,N,19,19
3474,S,Assente,Assente
4441,M,21,21
4446,N,15,Ritirato
4505,P,Assente,Assente
4512,Q,18,18
4525,V,12,Ritirato
4664,M,19,19
5472,M,17,Ritirato
6160,S,Assente,Assente
7722,S,4,Ritirato
8204,T,Ritirato,Ritirato
8537,P,9,Ritirato
8673,T,Ritirato,Ritirato
8802,M,14,Ritirato
8832,M,14,Ritirato
8930,M,Assente,Assente
9113,P,9,Ritirato
9214,S,21,21
9296,P,9,Ritirato
9333,P,14,Ritirato
9339,S,17,Ritirato
